Site Number,Site Name,Gridreference,Easting,Northing,Length,Country,No.sections,No. yrs surveyed,First year surveyed,Last year surveyed,Survey type
"3,608",Lord's Wood,SO55201510,"355,200","215,100","2,750",England,10,6,"2,006","2,011",UKBMS
"3,609",Masts Reserve,SO99302460,"399,300","224,600","1,480",England,12,9,"2,007","2,015",UKBMS
"3,610",Haugh Woods North 2007,SO590370,"359,000","237,000","3,036",England,14,9,"2,007","2,015",UKBMS
"3,611",Eastnor,SO75603810,"375,600","238,100","2,247",England,12,4,"2,008","2,012",UKBMS
"3,612",Merbach Common,SO306447,"330,600","244,700","2,847",England,12,8,"2,008","2,015",UKBMS
"3,613",Bury Ditches,SO334839,"333,400","283,900","3,180",England,8,8,"2,007","2,015",UKBMS
"3,614",Purslow Wood,SO368788,"336,800","278,800","2,550",England,5,6,"2,008","2,013",UKBMS
"3,615",Northhill Malvern,SO769474,"376,900","247,400","2,076",England,5,2,"2,007","2,008",UKBMS
"3,616",Radnor Wood,SO320812,"332,000","281,200","2,320",England,5,5,"2,007","2,012",UKBMS
"3,617",Garway Hill Common,SO437251,"343,700","225,100","5,718",England,12,3,"2,007","2,009",UKBMS
"3,618",Hammerwich Hall Farm - an eco-farm,SK074070,"407,400","307,000","2,000",England,6,3,"2,009","2,011",UKBMS
"3,619",Prees Heath Common Reserve,SJ560370,"356,000","337,000","3,631",England,12,7,"2,009","2,015",UKBMS
"3,620",Trench Wood2,SO926587,"392,600","258,700","2,318",England,7,7,"2,009","2,015",UKBMS
"3,621",Tiddesley Wood,SO927453,"392,700","245,300","1,958",England,6,7,"2,009","2,015",UKBMS
"3,622",Wrens Nest National Nature Reserve,SO937914,"393,700","291,400","1,830",England,11,12,"2,004","2,015",UKBMS
"3,623",Melrose Farm Meadows,SO816410,"381,600","241,000",697,England,4,7,"2,009","2,015",UKBMS
"3,625",Lower Woods South,ST742872,"374,200","187,200",,England,10,1,"2,015","2,015",UKBMS
"3,627",Strawberry Banks,SO910033,"391,000","203,300","1,157",England,10,2,"2,014","2,015",UKBMS
"3,628","Clemcroft, Nr Hazler Hill",SO463924,"346,300","292,400",600,England,7,11,"2,005","2,015",UKBMS
"3,629",Kilkenny,SP004186,"400,400","218,600",,England,9,5,"2,010","2,015",UKBMS
"3,630",Birches Farm & Cother Wood,SO760465,"376,000","246,500","2,970",England,15,1,"2,010","2,010",UKBMS
"3,631",Feckenham Wylde Moor,SP011606,"401,100","260,600","2,204",England,6,6,"2,010","2,015",UKBMS
"3,632",Hill Court Farm,SO825345,"382,500","234,500","3,300",England,9,6,"2,010","2,015",UKBMS
"3,633",North Hill Malvern (2010),SO770470,"377,000","247,000","2,621",England,7,6,"2,010","2,015",UKBMS
"3,634",Hurst Coppice,SO792785,"379,200","278,500","1,840",England,6,5,"2,010","2,015",UKBMS
"3,635",Nagshead extension - meadows,SO607086,"360,700","208,600",510,England,4,1,"2,011","2,011",UKBMS
"3,636",Wilden Marsh,SO818727,"381,800","272,700","1,640",England,15,5,"2,011","2,015",UKBMS
"3,637",Newtown Green and Meadow,SO973546,"397,300","254,600","1,309",England,9,4,"2,011","2,014",UKBMS
"3,638",Lynton Moss,SJ789243,"378,900","324,300","2,187",England,8,1,"2,011","2,011",UKBMS
"3,639",Highgate Common,SO836895,"383,600","289,500","3,841",England,15,2,"2,011","2,013",UKBMS
"3,640",Avon Meadows Community Wetland,SO950465,"395,000","246,500","1,380",England,7,5,"2,011","2,015",UKBMS
"3,641",Hartlebury Common and Charlton,SO824707,"382,400","270,700","3,098",England,15,4,"2,011","2,015",UKBMS
"3,642",Harper Adams,SJ712204,"371,200","320,400","2,661",England,12,1,"2,011","2,011",UKBMS
"3,643",Bathpool Park,SJ836527,"383,600","352,700","3,161",England,14,5,"2,011","2,015",UKBMS
"3,644",Rowley Hills. Land to south of Bury Hill Park,SO975896,"397,500","289,600","2,250",England,15,5,"2,011","2,015",UKBMS
"3,645",Pound Green Common,SO752787,"375,200","278,700",900,England,11,5,"2,011","2,015",UKBMS
"3,646",Queenswood Country Park,SO505515,"350,500","251,500","3,347",England,14,4,"2,012","2,015",UKBMS
"3,647",Lower Kites Wood,SO978564,"397,800","256,400","1,293",England,9,3,"2,013","2,015",UKBMS
"3,648",Hollybed Farm,SO778382,"377,800","238,200",,England,,3,"2,013","2,015",UKBMS
"3,649",The Leasowes,SO976838,"397,600","283,800",,England,,3,"2,013","2,015",UKBMS
"3,650",Coombeswood Wedge,SO975848,"397,500","284,800",,England,,3,"2,013","2,015",UKBMS
"3,651",Woodgate Valley,SP008833,"400,800","283,300","3,000",England,10,3,"2,013","2,015",UKBMS
"3,652",Besford Court,SO914452,"391,400","245,200","2,000",England,12,2,"2,014","2,015",UKBMS
"3,656",Mottey Meadows NNR,SJ840134,"384,000","313,400","1,595",England,6,2,"2,014","2,015",UKBMS
"3,657",Highgate Common (2014 route),SO840900,"384,000","290,000","2,800",England,8,2,"2,014","2,015",UKBMS
"3,658","Cherry Orchard, Worcester",SO851529,"385,100","252,900",400,England,1,2,"2,014","2,015",UKBMS
"3,659",North Hill Balcony Malvern,SO768470,"376,800","247,000",133,England,2,2,"2,014","2,015",UKBMS
"3,660",Loynton Moss,SJ788246,"378,800","324,600","1,612",England,8,1,"2,014","2,014",UKBMS
"3,661",Aqualate Mere,SJ782204,"378,200","320,400","1,106",England,5,2,"2,014","2,015",UKBMS
"3,662",Gawcombe North,SP207210,"420,700","221,000","4,525",England,12,2,"2,014","2,015",UKBMS
"3,663",Gawcombe South,SP230214,"423,000","221,400","4,782",England,12,2,"2,014","2,015",UKBMS
"3,664",Rough Bank,SO907087,"390,700","208,700","2,528",England,10,2,"2,014","2,015",UKBMS
"3,665",Linear Park Cinderford,SO649134,"364,900","213,400","3,750",England,9,1,"2,015","2,015",UKBMS
"3,666",Blackhouse Wood,SO733521,"373,300","252,100","3,000",England,5,1,"2,015","2,015",UKBMS
"3,668",Stoulton M & J Wood,SO912493,"391,200","249,300","1,057",England,8,1,"2,015","2,015",UKBMS
"3,670",Moseley Green,SO633091,"363,300","209,100","3,270",England,9,1,"2,015","2,015",UKBMS
"3,671",Loynton Moss (2015 route),SJ788242,"378,800","324,200","1,490",England,7,1,"2,015","2,015",UKBMS
"3,672",The Bog,SO357978,"335,700","297,800","1,000",England,10,1,"2,015","2,015",UKBMS
"3,673",Bellpit Meadows,SK004488,"400,400","348,800","1,113",England,10,1,"2,015","2,015",UKBMS
"3,700",Ayres NNR,NX41300330,"241,300","503,300","3,930",Isle of Man,10,5,"2,002","2,006",UKBMS
"3,701",Calf of Man,SC15606560,"215,600","465,600","5,420",Isle of Man,8,11,"1,996","2,006",UKBMS
"3,800",Sims Wood,SU410015,"441,000","101,500","3,280",England,9,21,"1,995","2,015",UKBMS
"3,801",Portsdown (compartments 1-3),SU62800670,"462,800","106,700","1,480",England,7,10,"2,005","2,015",UKBMS
"3,802",Lakeside Eastleigh,SU44501750,"444,500","117,500",,England,6,14,"2,002","2,015",UKBMS
"3,803",Testwood Lakes - Lakeside,SU35101510,"435,100","115,100","2,795",England,4,12,"2,004","2,015",UKBMS
"3,804",Testwood Lakes - North,SU34301560,"434,300","115,600","1,788",England,9,12,"2,004","2,015",UKBMS
"3,805",Magdalen Hill Down North,SU50802920,"450,800","129,200",,England,8,11,"2,005","2,015",UKBMS
"3,806",Waverley (Chilbolton),SU39103920,"439,100","139,200",,England,1,14,"2,001","2,015",UKBMS
"3,809",Park Woood Cowplain,SU68501040,"468,500","110,400",100,England,1,3,"2,006","2,008",UKBMS
"3,810",YOELLS COPSE,SU68501280,"468,500","112,800","1,000",England,6,2,"2,006","2,007",UKBMS
"3,814",Pilot Hill,SU39805950,"439,800","159,500","1,600",England,10,9,"2,007","2,015",UKBMS
"3,815",Bramshott Common,SU85703350,"485,700","133,500","5,000",England,9,9,"2,007","2,015",UKBMS
"3,816",Hazleton Common (new),SU70301200,"470,300","112,000","1,000",England,8,10,"2,006","2,015",UKBMS
"3,817",St Catherine's Hill,SU48502750,"448,500","127,500",980,England,12,7,"2,007","2,014",UKBMS
"3,818",Swanmore Village,SU57301650,"457,300","116,500","2,125",England,7,11,"2,005","2,015",UKBMS
"3,819",Dibden Bottom (north),SU39400720,"439,400","107,200",,England,4,9,"2,007","2,015",UKBMS
"3,820",Keeping Marsh,SU40100110,"440,100","101,100","2,582",England,5,7,"2,006","2,015",UKBMS
"3,822",Great Copse Woods,SU320287,"432,000","128,700","1,140",England,9,9,"1,989","2,007",UKBMS
"3,823",Bushfield Camp 2,SU470275,"447,000","127,500",,England,10,2,"2,006","2,007",UKBMS
"3,824",Southampton Old Cemetery,SU41301370,"441,300","113,700","1,800",England,8,10,"2,006","2,015",UKBMS
"3,825",The HOLT-Soakfield Row and Broadwalk,SU70901230,"470,900","112,300","1,710",England,6,8,"2,008","2,015",UKBMS
"3,826",Danebury Hill Fort Hampshire,SU32503770,"432,500","137,700","2,300",England,12,8,"2,008","2,015",UKBMS
"3,827",Hocombe Mead  2,SU4322,"443,000","122,000",,England,7,8,"2,008","2,015",UKBMS
"3,828","Hillier Gardens, Ampfield",SU383235,"438,300","123,500",,England,10,9,"2,007","2,015",UKBMS
"3,829",Staunton Country Park,SU723093,"472,300","109,300","2,900",England,8,3,"2,008","2,010",UKBMS
"3,830",Ashford Hill Woods & Meadows,SU564616,"456,400","161,600","2,650",England,6,8,"2,008","2,015",UKBMS
"3,831",Sparsholt (Ower Wood & Grassland),SU419321,"441,900","132,100",,England,7,8,"2,008","2,015",UKBMS
"3,832",Normandy Marshes,SZ332938,"433,200","93,800","3,800",England,10,6,"2,008","2,013",UKBMS
"3,833",The Commons Roydon,SU315005,"431,500","100,500",,England,14,11,"2,005","2,015",UKBMS
"3,834",Testwood North Perimeter,SU344157,"434,400","115,700","2,550",England,10,7,"2,009","2,015",UKBMS
"3,835",Southwood Meadows,SU855553,"485,500","155,300","1,700",England,10,5,"2,010","2,014",UKBMS
"3,836",Spearywell Mottisfont,SU315277,"431,500","127,700","2,000",England,9,6,"2,010","2,015",UKBMS
"3,837","Down Grange Meadow, Kempshott",SU607497,"460,700","149,700",840,England,4,6,"2,010","2,015",UKBMS
"3,838",Jeffereys Copse,SU591493,"459,100","149,300","1,460",England,5,1,"2,010","2,010",UKBMS
"3,839",Janesmoor Plain,SU255135,"425,500","113,500","1,137",England,9,1,"2,010","2,010",UKBMS
"3,840",Priors Hill Copse,SU468092,"446,800","109,200",908,England,6,5,"2,011","2,015",UKBMS
"3,841",Lepe Country Park,SZ456987,"445,600","98,700","1,623",England,8,5,"2,011","2,015",UKBMS
"3,842",Kings Copse,SU426017,"442,600","101,700","2,800",England,7,5,"2,011","2,015",UKBMS
"3,843",Great Copse,SU320282,"432,000","128,200","1,554",England,9,3,"2,011","2,015",UKBMS
"3,844",Shipton Bellinger (West),SU223454,"422,300","145,400",,England,10,4,"2,012","2,015",UKBMS
"3,845",Sunderton & South Lane Meadows (Clanfield),SU698163,"469,800","116,300","1,336",England,6,1,"2,012","2,012",UKBMS
"3,846",BEAULIEU HEATH NORTH,SU350018,"435,000","101,800","1,400",England,7,4,"2,012","2,015",UKBMS
"3,847",Hawkhill,SU351019,"435,100","101,900","3,080",England,7,4,"2,012","2,015",UKBMS
"3,848",Pondhead,SU307073,"430,700","107,300","1,738",England,6,4,"2,012","2,015",UKBMS
"3,849",Standing Hat,SU315036,"431,500","103,600","3,119",England,6,4,"2,012","2,015",UKBMS
"3,850",Warren Farm,SZ419972,"441,900","97,200","2,440",England,6,4,"2,012","2,015",UKBMS
"3,851",Browndown N2 12 section,SZ582996,"458,200","99,600","2,560",England,12,3,"2,013","2,015",UKBMS
"3,852",Barton Common,SZ247932,"424,700","93,200","2,015",England,9,3,"2,013","2,015",UKBMS
"3,854",Godshill,SU177161,"417,700","116,100","3,400",England,7,3,"2,013","2,015",UKBMS
"3,855",Perrywood Ivy,SU320034,"432,000","103,400","3,200",England,10,3,"2,013","2,015",UKBMS
"3,856",Magdalen Hill Down (Old Allotments),SU497293,"449,700","129,300","1,086",England,7,3,"2,013","2,015",UKBMS
"3,857",Trinley Estate,SU392495,"439,200","149,500",,England,,2,"2,013","2,014",UKBMS
"3,858",Anton Lakes Local Nature Reserve,SU360469,"436,000","146,900",,England,,3,"2,013","2,015",UKBMS
"3,859",Portchester Common,SU621067,"462,100","106,700",,England,,3,"2,013","2,015",UKBMS
