Site Number,Site Name,Gridreference,Easting,Northing,Length,Country,No.sections,No. yrs surveyed,First year surveyed,Last year surveyed,Survey type,PRIVATE
1157,Witherslack Hall Woods,SD43508680,343500,486800,2233,England,10,10,2007,2016,UKBMS,N
1158,Marble Quarry,SD498788,349800,478800,2005,England,6,1,2008,2008,UKBMS,N
1159,Meathop Moss,SD447821,344700,482100,1980,England,8,9,2008,2016,UKBMS,N
1161,Seven Acres,SD737094,373700,409400,2959,England,10,5,2009,2016,UKBMS,N
1162,Hampsfield Allotment,SD398807,339800,480700,2010,England,5,3,2009,2011,UKBMS,N
1163,Trowbarrow Quarry - New (2010),SD480758,348000,475800,2092,England,12,7,2010,2016,UKBMS,N
1164,Middlebarrow Wood,SD464769,346400,476900,2890,England,13,7,2010,2016,UKBMS,N
1165,Burton Fell Extension,SD543777,354300,477700,400,England,2,3,2010,2012,UKBMS,N
1166,Warton Crag LWT2,SD491731,349100,473100,4020,England,15,5,2011,2016,UKBMS,N
1167,Thack Beck,NY506307,350600,530700,,England,8,1,2012,2012,UKBMS,N
1168,Ainsdale Sand Dunes NNR,SD288106,328800,410600,5325,England,13,4,2013,2016,UKBMS,N
1169,Myers Allotment Two,SD474750,347400,475000,850,England,10,4,2013,2016,UKBMS,N
1171,Hartsop Dodd,NY413115,341300,511500,,England,,4,2013,2016,UKBMS,N
1172,Wartbarrow SSSI,SD390767,339000,476700,2200,England,10,2,2014,2015,UKBMS,N
1173,South Walney Nature Reserve,SD225620,322500,462000,2962,England,7,3,2014,2016,UKBMS,N
1174,Smardale Gill Extension,NY734081,373400,508100,1000,England,2,3,2014,2016,UKBMS,N
1175,Hampsfell 2,SD404804,340400,480400,2615,England,10,3,2014,2016,UKBMS,N
1176,Halecat,SD434835,343400,483500,,England,12,3,2014,2016,UKBMS,N
1177,Cragg Howe,SD455881,345500,488100,1673,England,14,2,2014,2016,UKBMS,N
1178,Township Plantation south,SD451882,345100,488200,1781,England,15,3,2014,2016,UKBMS,N
1179,Heysham Nature Reserve,SD406600,340600,460000,1000,England,10,2,2015,2016,UKBMS,N
1180,Township Plantation central,SD451884,345100,488400,991,England,7,2,2015,2016,UKBMS,N
1181,Marble Quarry 2,SD499779,349900,477900,2384,England,10,1,2015,2015,UKBMS,N
1182,Challan Hall Allotment,SD475770,347500,477000,3500,England,15,1,2016,2016,,N
1183,Nob End SSSI,SD749063,374900,406300,1251,England,10,1,2016,2016,,N
1200,Barton Hills,TL08602960,508600,229600,2700,England,8,13,1987,2000,UKBMS,N
1201,Blows Downs West,TL03402170,503400,221700,3900,England,,2,1995,1996,UKBMS,N
1202,Blows Downs North,TL03402110,503400,221100,2900,England,,3,1995,1997,UKBMS,N
1203,"Blows Downs, Old walk",TL030215,503000,221500,6800,England,,1,1994,1994,UKBMS,N
1204,Bradgers Hill,TL09702440,509700,224400,1900,England,,4,1995,2000,UKBMS,N
1205,Coronation Pit,TL03304340,503300,243400,,England,,3,1995,1997,UKBMS,N
1206,"Dallow Downs, Winsdon Hill",TL07802110,507800,221100,,England,,2,1999,2000,UKBMS,N
1207,"Dallow Downs, Runley Woods",TL07302150,507300,221500,,England,,2,1999,2000,UKBMS,N
1208,Dunstable Downs,TL00602050,500600,220500,2000,England,9,13,1993,2016,UKBMS,N
1209,Hill Rise,TL04605100,504600,251000,400,England,1,15,1994,2011,UKBMS,N
1210,Priory Country Park,TL07504930,507500,249300,2000,England,5,21,1993,2015,UKBMS,N
1211,Sundon New Chalk Quarry,TL04102710,504100,227100,5400,England,,5,1995,2003,UKBMS,N
1212,Sundon Old Quarry,TL03902810,503900,228100,2600,England,,2,1995,1996,UKBMS,N
1213,Totternhoe Old Chalk Quarry,SP98502250,498500,222500,2450,England,9,22,1993,2016,UKBMS,N
1214,Galley & Warden Hills,TL090263,509000,226300,6000,England,14,6,1995,2000,UKBMS,N
1215,Harlington Road,TL04602880,504600,228800,300,England,,2,2001,2002,UKBMS,N
1220,Sharpenhoe Clappers,TL06703030,506700,230300,2300,England,11,25,1989,2016,UKBMS,N
1221,Whipsnade Downs,TL01201820,501200,218200,2500,England,11,26,1987,2016,UKBMS,N
1222,Totternhoe Knolls,SP97902200,497900,222000,1800,England,10,19,1987,2005,UKBMS,N
1223,Foster Hill Cemetery,TL04905120,504900,251200,,England,,1,2003,2003,UKBMS,N
1224,Old Warden Tunnel,TL110440,511000,244000,1188,England,8,11,2006,2016,UKBMS,N
1226,Bedford Old Cemetery,TL050512,505000,251200,1940,England,5,6,2006,2011,UKBMS,N
1227,Totternhoe Old Chalk Quarry SSSI Section 10,SP980225,498000,222500,400,England,1,4,2006,2015,UKBMS,N
1229,Knocking hoe,TL131307,513100,230700,1508,England,8,3,2013,2016,UKBMS,N
1230,Whipsnade SSSI,SP998179,499800,217900,2000,England,9,4,2013,2016,UKBMS,N
1231,Ring Haw,TL053973,505300,297300,2325,England,6,3,2014,2016,UKBMS,N
1232,Mowsbury Hillfort,TL065532,506500,253200,1200,England,9,3,2014,2016,UKBMS,N
1233,Sulby Gardens with Sulby Covert,SP662818,466200,281800,1840,England,7,1,2015,2015,UKBMS,N
1234,Whitestones Twywell Hills & Dales,SP939775,493900,277500,1362,England,10,1,2016,2016,,N
1235,Bucknell Woods,SP658448,465800,244800,1000,England,10,1,2016,2016,,N
1236,Sulby Gardens and environs,SP661818,466100,281800,2000,England,10,1,2016,2016,,N
1237,Bradgers Hill,TL095245,509500,224500,1700,England,8,1,2016,2016,,N
1300,Holtspur Bank LNR,SU91609030,491600,190300,2000,England,,3,1995,1997,UKBMS,N
1301,Grendon & Doddershall Woods,SP700210,470000,221000,3800,England,13,22,1995,2016,UKBMS,N
1302,Homefield Wood,SU81308670,481300,186700,1109,England,,7,1993,2000,UKBMS,N
1303,Black Boy Field,SP78202150,478200,221500,,England,,5,1996,2000,UKBMS,N
1304,Little Wittenham Nature Reserve,SU56809250,456800,192500,4900,England,15,12,1989,2014,UKBMS,N
1305,College Lake,SP93501380,493500,213800,2450,England,6,16,2001,2016,UKBMS,N
1306,Aston Clinton Ragpits,SP88801080,488800,210800,900,England,2,21,1996,2016,UKBMS,N
1307,Finemere Wood,SP72102160,472100,221600,2820,England,8,23,1994,2016,UKBMS,N
1308,Pitstone Fen,SP93701410,493700,214100,1800,England,,3,1990,1996,UKBMS,N
1309,Coombe Hill,SP84700670,484700,206700,650,England,4,22,1994,2016,UKBMS,N
1310,"Little Wittenham, Hill Farm",SU56209230,456200,192300,3445,England,10,18,1996,2016,UKBMS,N
1311,Bowdown (Baynes/Bomb Site),SU50806500,450800,165000,1750,England,8,30,1986,2016,UKBMS,N
1312,Aston Upthorpe Downs,SU54508370,454500,183700,3500,England,8,24,1993,2016,UKBMS,N
1313,Blue Lagoon,SP86803270,486800,232700,1695,England,14,5,1996,2000,UKBMS,N
1314,Howbery Park,SU61509000,461500,190000,1000,England,1,22,1995,2016,UKBMS,N
1315,M40 Compensation Area,SP62901020,462900,210200,1620,England,7,26,1991,2016,UKBMS,N
1316,Burnham Beeches (Old walk),SU95408500,495400,185000,5500,England,15,3,1989,1991,UKBMS,N
1317,Burnham Beeches (New walk),SU95408500,495400,185000,7100,England,15,25,1992,2016,UKBMS,N
1318,Crong,SP90400880,490400,208800,1035,England,2,15,2001,2016,UKBMS,N
1319,Moor Copse Nature Reserve,SU63707410,463700,174100,1800,England,5,16,2001,2016,UKBMS,N
1320,Carmel College Marsh,SU610874,461000,187400,1400,England,8,19,1995,2014,UKBMS,N
1321,Lardon Chase,SU58708090,458700,180900,1000,England,6,20,1997,2016,UKBMS,N
1323,Dancersend,SP900095,490000,209500,2800,England,14,16,2001,2016,UKBMS,N
1324,Foundation Park,SU85707950,485700,179500,1635,England,10,4,2003,2006,UKBMS,N
1325,Carrinton's New Farm,SU88409000,488400,190000,2580,England,10,14,2003,2016,UKBMS,N
1326,Prestwood Picnic Site,SU86709920,486700,199200,500,England,4,1,2003,2003,UKBMS,N
1327,Kindersley Centre Sheepdrove,SU35208180,435200,181800,2000,England,10,1,2003,2003,UKBMS,N
1328,"Brush Hill, Princes Risborough",SP82100340,482100,203400,1320,England,10,12,2004,2015,UKBMS,N
1329,College Lake New 2003,SP93501390,493500,213900,1250,England,5,16,2001,2016,UKBMS,N
1330,Howe Park Wood,SP83303440,483300,234400,2021,England,11,1,2002,2002,UKBMS,N
1331,Linford Wood,SP850401,485000,240100,2038,England,10,1,2002,2002,UKBMS,N
1332,Monkstone & Oakgrove Park,SP87803850,487800,238500,2010,England,11,1,2002,2002,UKBMS,N
1333,Rushbeds Wood,SP650155,465000,215500,,England,9,1,2002,2002,UKBMS,N
1334,Stonepits Park,SP84604200,484600,242000,2005,England,12,1,2002,2002,UKBMS,N
1335,Hosehill LNR,SU64906970,464900,169700,1685,England,15,10,2005,2016,UKBMS,N
1336,Ardley Quarry,SP53602730,453600,227300,957,England,4,14,2003,2016,UKBMS,N
1337,Butler's Hangings,SU81809590,481800,195900,1015,England,6,7,2003,2009,UKBMS,N
1339,Hartslock,SU61807950,461800,179500,1405,England,7,14,2003,2016,UKBMS,N
